	level_0	index	Subfind_ID	t-t_merg	q	Type	mass	int_type	center
0	0	1	38324	0.0	0.17298621	Merger	330547100.0	100	65
1	1	2	114548	0.0	0.11576375	Merger	1338460400.0	100	65
2	2	3	313921	0.0	0.26608258	Merger	216025180.0	100	65
3	3	4	319382	0.0	0.41496786	Merger	74621485000.0	100	65
4	4	5	345745	0.0	0.16155171	Merger	471090700.0	100	65
5	5	6	367039	0.0	0.37849712	Merger	19523463000.0	100	65
6	6	7	424464	0.0	0.4061337	Merger	26872100000.0	100	65
7	7	8	459109	0.0	0.27767226	Merger	7760969000.0	100	65
8	8	9	474351	0.0	0.15508792	Merger	10230506000.0	100	65
9	9	10	492910	0.0	0.88766086	Merger	6593180700.0	100	65
10	10	11	496125	0.0	0.10519247	Merger	6021269500.0	100	65
11	11	12	496910	0.0	0.19954284	Merger	93207070.0	100	65
12	12	13	507731	0.0	0.7452561	Merger	240006140.0	100	65
13	13	14	512298	0.0	0.19396771	Merger	866481400.0	100	65
14	14	15	514115	0.0	2.2514546	Merger	2665261000.0	100	65
15	15	16	534201	0.0	0.42149726	Merger	372861730.0	100	65
16	16	17	541001	0.0	0.19905524	Merger	337494880.0	100	65
17	17	18	543825	0.0	0.11439904	Merger	2681530400.0	100	65
18	18	19	545665	0.0	0.16295715	Merger	436829920.0	100	65
19	19	20	557689	0.0	0.24627097	Merger	103899170.0	100	65
20	20	21	559946	0.0	0.23720708	Merger	1204963000.0	100	65
21	21	22	569899	0.0	0.98287684	Merger	304605600.0	100	65
22	22	23	571593	0.0	0.19200215	Merger	150632030.0	100	65
23	23	24	578759	0.0	0.11193201	Merger	178405970.0	100	65
24	24	25	585580	0.0	0.2925649	Merger	565261400.0	100	65
25	25	26	589036	0.0	0.49125686	Merger	270436060.0	100	65
26	26	27	589371	0.0	0.18050864	Merger	896668600.0	100	65
27	27	28	617688	0.0	0.103760034	Merger	699594050.0	100	65
28	28	29	634215	0.0	0.24507359	Merger	125547256.0	100	65
29	29	30	634930	0.0	0.13095027	Merger	329532060.0	100	65
30	30	31	636568	0.0	0.14827774	Merger	287226850.0	100	65
31	31	32	638278	0.0	0.114156105	Merger	148175100.0	100	65
32	32	33	651052	0.0	1.7711183	Merger	172286600.0	100	65
33	33	34	653168	0.0	0.34697106	Merger	125962000.0	100	65
34	34	35	662045	0.0	0.2442209	Merger	205822670.0	100	65
35	35	36	679361	0.0	0.50511736	Merger	127375120.0	100	65
36	36	128	618578	-0.1525261499999999	0.62034327	next_progenitor	833923300.0	10	65
